ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,value_2021,latest_value,footnotes,nature
11,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.86732,0.86677,0.86589,0.86442,0.86267,0.85959,0.85669,0.85408,0.85087,0.84799,0.84579,0.84216,0.83957,0.83653,0.83422,0.83131,0.82917,0.82625,0.82307,0.8208,0.81724,0.81485,0.81168,0.8085,0.80567,0.80287,0.80077,0.79779,0.79473,0.79473,,E: Estimated data
12,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,516,Namibia,4,18,Southern Africa,Country,17.21907885,-22.13817068,NAM,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.9717,0.97162,0.97154,0.97138,0.97137,0.97128,0.9712,0.97107,0.97099,0.97089,0.97078,0.97066,0.97061,0.97053,0.97046,0.97037,0.97024,0.9701,0.96993,0.96981,0.96974,0.96967,0.9696,0.96953,0.96953,0.96952,0.96952,0.96953,0.96953,0.96953,,E: Estimated data
13,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,520,Nauru,4,543,Oceania (exc. Australia and New Zealand),Country,166.92313,-0.528742623,NRU,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.85135,0.85153,0.8509,0.84947,0.84729,0.84395,0.84054,0.83732,0.83387,0.83032,0.82654,0.82418,0.8202,0.81657,0.81322,0.81041,0.80749,0.80526,0.80047,0.79712,0.794,0.7894,0.78716,0.78219,0.78043,0.77685,0.77318,0.77106,0.76504,0.76504,,E: Estimated data
14,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,520,Nauru,4,543,Oceania (exc. Australia and New Zealand),Country,166.92313,-0.528742623,NRU,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.85135,0.85153,0.8509,0.84947,0.84729,0.84395,0.84054,0.83732,0.83387,0.83032,0.82654,0.82418,0.8202,0.81657,0.81322,0.81041,0.80749,0.80526,0.80047,0.79712,0.794,0.7894,0.78716,0.78219,0.78043,0.77685,0.77318,0.77106,0.76504,0.76504,,E: Estimated data
15,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,524,Nepal,5,127,Southern Asia (excluding India),Country,83.94678863,28.25866332,NPL,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.83829,0.83795,0.83764,0.83714,0.83657,0.83595,0.83566,0.83521,0.83497,0.83478,0.83461,0.83473,0.83441,0.83458,0.83454,0.83442,0.83442,0.8346,0.83433,0.83447,0.83468,0.8345,0.8345,0.83457,0.83477,0.83457,0.8348,0.8348,0.83471,0.83471,,E: Estimated data
16,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,524,Nepal,5,127,Southern Asia (excluding India),Country,83.94678863,28.25866332,NPL,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.83829,0.83795,0.83764,0.83714,0.83657,0.83595,0.83566,0.83521,0.83497,0.83478,0.83461,0.83473,0.83441,0.83458,0.83454,0.83442,0.83442,0.8346,0.83433,0.83447,0.83468,0.8345,0.8345,0.83457,0.83477,0.83457,0.8348,0.8348,0.83471,0.83471,,E: Estimated data
17,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,528,Netherlands,5,155,Western Europe,Country,5.331480568,51.86728884,NLD,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.97722,0.97691,0.97611,0.97501,0.97329,0.97172,0.96987,0.96819,0.96646,0.96493,0.96282,0.96156,0.95985,0.95855,0.9573,0.95594,0.95481,0.9533,0.9522,0.95066,0.94949,0.94768,0.94663,0.94449,0.9431,0.94182,0.94029,0.9391,0.93778,0.93778,,E: Estimated data
18,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,540,New Caledonia,4,543,Oceania (exc. Australia and New Zealand),Country,165.5067368,-21.41742531,NCL,0,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.7111,0.71093,0.71069,0.71041,0.70748,0.70463,0.7015,0.69858,0.69529,0.69238,0.68937,0.68606,0.68362,0.68064,0.67722,0.67446,0.67242,0.66961,0.66595,0.66348,0.6599,0.65766,0.65305,0.65097,0.64694,0.64453,0.64073,0.6382,0.63611,0.63611,,E: Estimated data
19,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,540,New Caledonia,4,543,Oceania (exc. Australia and New Zealand),Country,165.5067368,-21.41742531,NCL,0,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.7111,0.71093,0.71069,0.71041,0.70748,0.70463,0.7015,0.69858,0.69529,0.69238,0.68937,0.68606,0.68362,0.68064,0.67722,0.67446,0.67242,0.66961,0.66595,0.66348,0.6599,0.65766,0.65305,0.65097,0.64694,0.64453,0.64073,0.6382,0.63611,0.63611,,E: Estimated data
20,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,554,New Zealand,4,53,Australia and New Zealand,Country,170.4755673,-43.98721568,NZL,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.74258,0.73935,0.73662,0.73226,0.72902,0.72367,0.71878,0.71429,0.70969,0.70511,0.70066,0.69648,0.69176,0.68776,0.68375,0.6784,0.67448,0.66955,0.6643,0.6603,0.65542,0.65035,0.64592,0.64093,0.63627,0.6322,0.62721,0.62187,0.61745,0.61745,,E: Estimated data
21,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,558,Nicaragua,4,13,Central America,Country,-85.03060315,12.84210839,NIC,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.85466,0.85452,0.85375,0.85291,0.85197,0.85083,0.8493,0.84788,0.84665,0.84532,0.84412,0.84273,0.84126,0.84025,0.83868,0.83738,0.83638,0.83499,0.83352,0.83215,0.83095,0.82914,0.82816,0.82671,0.82496,0.82386,0.82227,0.82093,0.81959,0.81959,,E: Estimated data
22,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,562,Niger,4,11,Western Africa,Country,9.400167877,17.42143036,NER,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.95943,0.95848,0.95745,0.95694,0.95604,0.95463,0.95383,0.95276,0.95191,0.95069,0.94973,0.94851,0.94746,0.94655,0.94546,0.94455,0.9435,0.94251,0.94114,0.94058,0.93926,0.93803,0.93733,0.9366,0.93606,0.93508,0.9344,0.93335,0.93254,0.93254,,E: Estimated data
23,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,566,Nigeria,4,11,Western Africa,Country,8.097363256,9.585789025,NGA,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.85496,0.85479,0.85467,0.85445,0.85425,0.8542,0.85408,0.85404,0.85396,0.85384,0.8538,0.85364,0.85374,0.85362,0.85351,0.85336,0.85322,0.85316,0.85294,0.85278,0.85267,0.85267,0.85265,0.85246,0.8524,0.85239,0.85237,0.8523,0.85228,0.85228,,E: Estimated data
24,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,570,Niue,4,543,Oceania (exc. Australia and New Zealand),Country,-169.8601693,-19.05000475,NIU,0,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.78292,0.78297,0.78261,0.78236,0.78064,0.7772,0.7775,0.779,0.79587,0.81172,0.82971,0.84052,0.84323,0.8432,0.8416,0.83959,0.83751,0.83554,0.83319,0.8315,0.82939,0.8272,0.82438,0.82245,0.82093,0.81733,0.81495,0.81376,0.81092,0.81092,,E: Estimated data
